"name";"id";"systemid";"executiontime";"executioninmiliseconds"
"bicing";"1443";"7";"2020-08-28T15:25:02.109026Z";"2058"
"bicing";"510";"7";"2020-08-28T03:15:03.52798Z";"3518"
"bicing";"457";"7";"2020-08-28T02:30:04.495449Z";"4490"
"bicing";"1188";"7";"2020-08-28T12:05:01.668812Z";"1654"
"bicing";"512";"7";"2020-08-28T03:20:03.316659Z";"3298"
"bicing";"1131";"7";"2020-08-28T11:20:01.775888Z";"1751"
"bicing";"825";"7";"2020-08-28T07:20:01.713509Z";"1709"
"bicing";"1165";"7";"2020-08-28T11:50:03.896697Z";"3886"
"bicing";"1313";"7";"2020-08-28T13:45:01.763887Z";"1741"
"bicing";"268";"7";"2020-08-28T00:05:01.727869Z";"1705"
"bicing";"471";"7";"2020-08-28T02:45:01.939639Z";"1893"
"bicing";"127";"7";"2020-08-27T22:20:01.730533Z";"1697"
"bicing";"1308";"7";"2020-08-28T13:40:04.360222Z";"4346"
"bicing";"370";"7";"2020-08-28T01:25:03.759176Z";"3738"
"bicing";"833";"7";"2020-08-28T07:25:04.332479Z";"4328"
"bicing";"1016";"7";"2020-08-28T09:50:03.717063Z";"3713"
"bicing";"264";"7";"2020-08-28T00:00:06.778922Z";"6762"
"bicing";"836";"7";"2020-08-28T07:30:02.720884Z";"2695"
"bicing";"399";"7";"2020-08-28T01:45:03.761261Z";"3730"
"bicing";"183";"7";"2020-08-27T23:00:04.084796Z";"4043"
"bicing";"1263";"7";"2020-08-28T13:05:01.973368Z";"1955"
"bicing";"1194";"7";"2020-08-28T12:10:04.649093Z";"4625"
"bicing";"450";"7";"2020-08-28T02:25:05.783264Z";"5707"
"bicing";"842";"7";"2020-08-28T07:35:01.712133Z";"1677"
"bicing";"572";"7";"2020-08-28T04:05:06.466471Z";"6459"
"bicing";"366";"7";"2020-08-28T01:20:05.887333Z";"5867"
"bicing";"1506";"7";"2020-08-28T16:10:03.467501Z";"3454"
"bicing";"1022";"7";"2020-08-28T09:55:03.76143Z";"3751"
"bicing";"256";"7";"2020-08-27T23:55:03.734548Z";"3722"
"bicing";"564";"7";"2020-08-28T03:55:04.038624Z";"4018"
"bicing";"714";"7";"2020-08-28T05:55:01.705095Z";"1695"
"bicing";"850";"7";"2020-08-28T07:40:01.822333Z";"1757"
"bicing";"1301";"7";"2020-08-28T13:35:02.101252Z";"2094"
"bicing";"1217";"7";"2020-08-28T12:30:02.053271Z";"2010"
